video_id,url,title,duration,view_count,channel,channel_id,language_code
JYjRBzuVFwQ,https://www.youtube.com/shorts/JYjRBzuVFwQ,"""If you had Puerto Rican girls reffing the games..."" 🎤: Chris Distefano #shorts",,192000.0,Comedy Central Stand-Up,@standup,en
Aay2CmDwAoU,https://www.youtube.com/shorts/Aay2CmDwAoU,"""I like professional football."" 🎤: Demetri Martin #shorts",,131000.0,Comedy Central Stand-Up,@standup,en
q9NxddF0Q8Q,https://www.youtube.com/shorts/q9NxddF0Q8Q,"""There's 16,000 white people."" 🎤: Finesse Mitchell #shorts",,85000.0,Comedy Central Stand-Up,@standup,en
MC1gMSY1tFM,https://www.youtube.com/shorts/MC1gMSY1tFM,“You guys ever rob a house?” 🎤: Ethan Simmons-Patterson #shorts,,52000.0,Comedy Central Stand-Up,@standup,en
EBX7LKQapGI,https://www.youtube.com/shorts/EBX7LKQapGI,"""Well, somebody married her ."" 🎤: Erin Jackson #shorts",,62000.0,Comedy Central Stand-Up,@standup,en
O4NgR78vNws,https://www.youtube.com/shorts/O4NgR78vNws,“I quit on some boss b*tch sh*t” 🎤:Brandi Denise #shorts,,47000.0,Comedy Central Stand-Up,@standup,en
tK3LROtWBMs,https://www.youtube.com/shorts/tK3LROtWBMs,"""I'm trying to help 'em out."" 🎤: Tess #shorts",,76000.0,Comedy Central Stand-Up,@standup,en
AIf6I40S9nw,https://www.youtube.com/shorts/AIf6I40S9nw,"“You know that interview was a son of a b*tch” 🎤: Roy Wood, Jr. #shorts",,2500000.0,Comedy Central Stand-Up,@standup,en
TWvb-eUr2s4,https://www.youtube.com/shorts/TWvb-eUr2s4,"""You're a bad man."" @jeffdunham I’m With Cupid February 3rd 8/7c Comedy Central. #shorts",,70000.0,Comedy Central Stand-Up,@standup,en
gU6_5nU4Sl0,https://www.youtube.com/shorts/gU6_5nU4Sl0,"""You guys ready for the little people in the boxes?"" 🎤:@jeffdunham #shorts",,27000.0,Comedy Central Stand-Up,@standup,en
UNpOzvZPgJ4,https://www.youtube.com/shorts/UNpOzvZPgJ4,"""When you get a little rando text..."" 🎤: Nick Swardson #shorts",,591000.0,Comedy Central Stand-Up,@standup,en
